id,success
26161,no
26168,no
26282,no
26984,no
26989,no
26991,no
26995,no
26998,no
27002,no
27003,yes
27004,yes
27009,no
27010,no
27011,no
27013,yes
27014,no
27015,yes
27016,no
27017,no
27018,no
27019,no
27020,yes
27021,no
27023,no
27025,no
27026,no
27027,yes
27029,no
27030,no
27033,no
27038,no
27039,yes
27046,no
27058,no
27063,no
27166,no
27932,yes
27938,no
27940,no
27946,yes
27949,no
27954,no
28657,yes
30561,yes
31187,no
31193,yes
31200,yes
31201,yes
31204,yes
31205,no
31206,yes
31207,yes
31208,no
31209,yes
31210,yes
31211,yes
31212,yes
31214,no
31215,yes
31216,no
31217,yes
31218,yes
31219,no
31220,yes
31221,yes
31222,no
31223,yes
31225,yes
31226,yes
31227,no
31228,yes
31229,no
31230,no
31231,no
31232,no
31233,no
31234,no
31235,no
31237,yes
31238,no
31239,no
31240,no
31241,no
31242,yes
31243,no
31244,no
31245,no
31247,yes
31248,no
31249,no
31253,no
31255,no
31256,no
31257,no
31260,yes
32392,no
32394,no
32395,no
32401,no
32403,no
32406,no
32409,no
32411,no
32415,no
32416,no
32418,yes
32419,no
32420,yes
32421,no
32422,yes
32423,no
32424,no
32426,no
32428,no
32429,yes
32430,no
32431,no
32432,no
32433,no
32434,no
32435,no
32436,no
32437,no
32438,no
32439,no
32440,no
32441,no
32442,no
32443,no
32445,no
32446,no
32447,no
32448,no
32449,no
32450,no
32453,yes
32454,yes
32455,yes
32457,no
32459,no
32461,no
32462,yes
32463,no
32464,yes
32466,no
32467,yes
32468,no
32469,no
32470,no
32471,no
32472,no
32473,no
32474,no
32475,no
32477,no
32478,no
32479,no
32480,no
32481,yes
32482,no
32484,no
32486,no
32490,no
32491,no
32494,yes
32514,no
32554,yes
32559,yes
32562,no
32563,yes
32570,yes
32572,no
32574,yes
32575,yes
32578,yes
32579,yes
32580,yes
32581,no
32582,yes
32583,yes
32584,yes
32585,yes
32588,yes
32590,yes
32592,yes
32593,yes
32594,yes
32595,no
32596,yes
32598,yes
32599,yes
32600,yes
32601,no
32602,yes
32603,yes
32604,yes
32605,yes
32606,yes
32609,no
32610,no
32612,no
32614,yes
32615,yes
32616,no
32690,yes
33614,no
33615,no
33655,no
34209,yes
34238,no
34411,yes
34415,no
34430,yes
34432,no
34435,no
34436,no
34437,no
34438,no
34439,yes
34444,no
34445,no
34447,no
34448,no
34450,no
34451,no
34453,yes
34455,no
34456,no
34457,no
34458,yes
34462,no
34463,yes
34464,no
34465,no
34467,no
34468,no
34470,no
34473,yes
34475,yes
34478,no
34479,yes
34480,yes
34481,yes
34482,no
34483,yes
34484,yes
34485,yes
34486,yes
34488,no
34496,yes
34497,yes
34498,no
34499,no
34502,no
34504,no
34505,no
34513,no
34515,no
34517,no
34520,no
34523,no
34525,no
34530,no
34950,yes
34952,no
34953,no
34954,no
34955,no
